config,server,rps,p50_us,p99_us,server_cpu_s
payload=16,cio,675372,691.0,2176.0,38.55
payload=16,asio-cb,813176,582.0,1676.0,38.25
payload=16,asio-coro,807186,590.0,1702.0,38.32
payload=16,go,674445,650.0,2240.0,38.02
payload=128,cio,670503,691.0,2240.0,38.48
payload=128,asio-cb,823571,578.0,1645.0,38.40
payload=128,asio-coro,803145,592.0,1679.0,38.52
payload=128,go,673091,650.0,2240.0,38.19
payload=1024,cio,611871,763.0,2432.0,38.89
payload=1024,asio-cb,711288,665.0,1925.0,38.04
payload=1024,asio-coro,708293,674.0,1874.0,38.49
payload=1024,go,604239,727.0,2560.0,37.96
payload=4096,cio,420079,1127.0,3648.0,39.16
payload=4096,asio-cb,480154,1008.0,2624.0,38.71
payload=4096,asio-coro,477837,1015.0,2560.0,38.90
payload=4096,go,434802,1021.0,3392.0,38.68
payload=16384,cio,25297,19712.0,33152.0,40.09
payload=16384,asio-cb,25185,20224.0,27264.0,40.06
payload=16384,asio-coro,25263,20928.0,24448.0,40.06
payload=16384,go,25012,18560.0,54976.0,40.05
threads=1,cio,117275,4288.0,6080.0,5.93
threads=1,asio-cb,119798,4224.0,5056.0,5.01
threads=1,asio-coro,115697,4352.0,6080.0,5.02
threads=1,go,108518,4736.0,6272.0,5.09
threads=2,cio,233726,2176.0,3072.0,11.24
threads=2,asio-cb,242462,2112.0,2752.0,10.03
threads=2,asio-coro,225882,2240.0,3520.0,10.02
threads=2,go,198937,2624.0,3840.0,10.07
threads=4,cio,461107,1083.0,1903.0,21.90
threads=4,asio-cb,472668,1062.0,1696.0,20.00
threads=4,asio-coro,463251,1068.0,1920.0,19.99
threads=4,go,382106,1318.0,2752.0,20.14
threads=8,cio,678912,684.0,2304.0,38.70
threads=8,asio-cb,827596,573.0,1675.0,38.29
threads=8,asio-coro,792630,597.0,1749.0,38.13
threads=8,go,676606,645.0,2304.0,37.92
threads=16,cio,665133,677.0,3328.0,37.80
threads=16,asio-cb,819764,374.0,4736.0,38.44
threads=16,asio-coro,799303,356.0,5248.0,38.44
threads=16,go,682291,452.0,6208.0,39.16
conns=1,cio,11265,85.0,144.0,2.57
conns=1,asio-cb,13104,76.0,128.0,1.67
conns=1,asio-coro,13242,75.0,127.0,1.73
conns=1,go,11900,82.0,136.0,2.58
conns=8,cio,65384,123.0,193.0,11.00
conns=8,asio-cb,90998,88.0,149.0,9.43
conns=8,asio-coro,95174,83.0,145.0,8.26
conns=8,go,54676,147.0,235.0,14.76
conns=64,cio,458518,134.0,317.0,31.79
conns=64,asio-cb,634120,84.0,310.0,33.35
conns=64,asio-coro,633994,83.0,292.0,33.93
conns=64,go,468220,124.0,385.0,32.27
conns=256,cio,624340,395.0,1081.0,38.17
conns=256,asio-cb,764534,303.0,1094.0,37.73
conns=256,asio-coro,751407,309.0,1123.0,37.10
conns=256,go,644801,317.0,1396.0,37.24
conns=1024,cio,700473,1341.0,3840.0,38.74
conns=1024,asio-cb,823452,1164.0,2944.0,39.26
conns=1024,asio-coro,816809,1179.0,2944.0,39.35
conns=1024,go,682098,1442.0,3392.0,38.96
conns=4096,cio,648711,6208.0,10240.0,39.48
conns=4096,asio-cb,780519,5120.0,8640.0,40.07
conns=4096,asio-coro,767909,5184.0,9024.0,40.02
conns=4096,go,583976,6976.0,9408.0,40.02
skew=0pct,cio,610907,402.0,1133.0,37.69
skew=0pct,asio-cb,774040,297.0,1104.0,36.43
skew=0pct,asio-coro,769232,299.0,1100.0,37.48
skew=0pct,go,660104,314.0,1345.0,37.31
skew=5pct,cio,564681,431.0,1237.0,38.45
skew=5pct,asio-cb,708602,338.0,1109.0,38.29
skew=5pct,asio-coro,684169,348.0,1101.0,38.58
skew=5pct,go,587018,348.0,1505.0,38.69
skew=25pct,cio,359180,679.0,1472.0,39.11
skew=25pct,asio-cb,409784,593.0,1209.0,39.81
skew=25pct,asio-coro,376468,636.0,1254.0,39.89
skew=25pct,go,352397,570.0,2624.0,39.91
skew=100pct,cio,132321,1881.0,3136.0,40.09
skew=100pct,asio-cb,135057,1830.0,2368.0,40.09
skew=100pct,asio-coro,134494,1776.0,2496.0,40.06
skew=100pct,go,129138,1530.0,7424.0,40.06
churn=0,cio,616628,399.0,1114.0,37.93
churn=0,asio-cb,767292,299.0,1117.0,36.59
churn=0,asio-coro,770281,300.0,1085.0,37.33
churn=0,go,651801,318.0,1343.0,37.80
churn=100,cio,605686,404.0,1146.0,38.07
churn=100,asio-cb,735642,293.0,1163.0,35.91
churn=100,asio-coro,720847,304.0,1166.0,36.42
churn=100,go,625868,328.0,1426.0,37.37
churn=10,cio,325673,506.0,8192.0,28.22
churn=10,asio-cb,506403,311.0,4800.0,34.72
churn=10,asio-coro,322210,316.0,10624.0,24.47
churn=10,go,428109,358.0,3584.0,37.14
churn=1,cio,33020,2944.0,79936.0,11.91
churn=1,asio-cb,32977,916.0,83584.0,8.72
churn=1,asio-coro,32769,1140.0,78144.0,10.29
churn=1,go,64615,3840.0,5952.0,25.75
fewconn=16_skew=25pct,cio,151887,88.0,331.0,26.39
fewconn=16_skew=25pct,asio-cb,127286,79.0,466.0,21.16
fewconn=16_skew=25pct,asio-coro,145445,77.0,459.0,22.34
fewconn=16_skew=25pct,go,143161,93.0,356.0,26.77
fewconn=16_skew=50pct,cio,109401,100.0,618.0,34.83
fewconn=16_skew=50pct,asio-cb,88325,85.0,485.0,27.52
fewconn=16_skew=50pct,asio-coro,86309,91.0,685.0,26.30
fewconn=16_skew=50pct,go,100757,107.0,603.0,34.52
